Date,Date,,,,,,Price,Open,High,Low,Vol.,Change %
06-10-2024,6,10,2024,,,10/6/2024,"1,880.35","1,929.00","1,935.00","1,859.80",1.24M,0.86%
06-07-2024,6,7,2024,,,7/6/2024,"1,864.25","1,845.00","1,888.95","1,812.80",1.69M,-0.05%
06-06-2024,6,6,2024,,,6/6/2024,"1,865.20","1,875.00","1,919.00","1,845.00",1.91M,1.99%
06-05-2024,6,5,2024,,,5/6/2024,"1,828.85","1,704.00","1,849.30","1,545.15",5.25M,11.11%
06-04-2024,6,4,2024,,,4/6/2024,"1,646.00","2,029.90","2,029.90","1,630.40",8.29M,-19.23%
06-03-2024,6,3,2024,,,3/6/2024,"2,038.00","2,125.00","2,174.10","1,950.10",7.24M,6.79%
05/31/2024,5,,,31,2024,31/5/2024,"1,908.35","1,874.00","1,993.90","1,870.00",4.49M,1.78%
05/30/2024,5,,,30,2024,30/5/2024,"1,874.90","1,874.00","1,894.30","1,840.10",668.45K,-0.25%
05/29/2024,5,,,29,2024,29/5/2024,"1,879.60","1,872.00","1,908.00","1,865.35",626.18K,-0.74%
05/28/2024,5,,,28,2024,28/5/2024,"1,893.65","1,935.00","1,935.00","1,865.15",1.85M,-1.86%
05/27/2024,5,,,27,2024,27/5/2024,"1,929.50","1,943.70","1,958.80","1,891.00",4.35M,0.15%
05/24/2024,5,,,24,2024,24/5/2024,"1,926.65","1,898.80","1,949.00","1,889.05",2.93M,2.00%
05/23/2024,5,,,23,2024,23/5/2024,"1,888.80","1,870.00","1,909.00","1,845.55",3.89M,1.20%
05/22/2024,5,,,22,2024,22/5/2024,"1,866.45","1,879.00","1,898.00","1,860.00",578.31K,0.38%
05/21/2024,5,,,21,2024,21/5/2024,"1,859.35","1,825.00","1,919.00","1,810.00",1.27M,1.38%
05/18/2024,5,,,18,2024,18/5/2024,"1,834.00","1,834.00","1,834.00","1,834.00",,0.05%
05/17/2024,5,,,17,2024,17/5/2024,"1,833.00","1,830.05","1,840.00","1,820.00",3.25M,-0.62%
05/16/2024,5,,,16,2024,16/5/2024,"1,844.40","1,848.40","1,859.80","1,807.00",3.67M,0.29%
05/15/2024,5,,,15,2024,15/5/2024,"1,839.15","1,790.00","1,845.00","1,782.65",8.28M,2.81%
05/14/2024,5,,,14,2024,14/5/2024,"1,788.80","1,719.00","1,800.00","1,685.00",3.66M,4.29%
05/13/2024,5,,,13,2024,13/5/2024,"1,715.15","1,710.10","1,735.00","1,660.00",3.45M,0.02%
05-10-2024,5,10,2024,,,10/5/2024,"1,714.75","1,730.05","1,758.00","1,700.05",2.25M,0.15%
05-09-2024,5,9,2024,,,9/5/2024,"1,712.15","1,788.00","1,821.65","1,702.15",490.72K,-3.43%
05-08-2024,5,8,2024,,,8/5/2024,"1,773.00","1,728.00","1,799.00","1,725.30",397.01K,2.72%
05-07-2024,5,7,2024,,,7/5/2024,"1,726.00","1,759.00","1,790.00","1,711.00",456.46K,-2.30%
05-06-2024,5,6,2024,,,6/5/2024,"1,766.65","1,760.00","1,785.95","1,750.00",558.58K,-1.84%
